1=Chiusura interruttore I2
2=Apertura interruttore I2
3=Chiusura interruttore I3
4=Apertura interruttore I3
5=Chiusura sezionatore S3 (UPS1)
6=Apertura sezionatore S3 (UPS1)
7=Chiusura sezionatore S7 (UPS2)
8=Apertura sezionatore S7 (UPS2)
9=Chiusura sezionatore S1 (UPS1)
10=Apertura sezionatore S1 (UPS1)
11=Chiusura sezionatore S2 (UPS2)
12=Apertura sezionatore S2 (UPS2)
13=Chiusura sezionatore S5 (UPS2)
14=Apertura sezionatore S5 (UPS2)
15=GE: prova a vuoto
16=GE: prova a carico
17=BA1: chiusura interruttore I1 (BT)
18=BA1: apertura interruttore I1 (BT)
19=BA1: chiusura interruttore I2 (1kV)
20=BA1: apertura interruttore I2 (1kV)
21=BA2: chiusura interruttore I1 (BT)
22=BA2: apertura interruttore I1 (BT)
23=BA2: chiusura interruttore I2 (1kV)
24=BA2: apertura interruttore I2 (1kV)
25=BA3: chiusura interruttore I1 (BT)
26=BA3: apertura interruttore I1 (BT)
27=BA3: chiusura interruttore I2 (1kV)
28=BA3: apertura interruttore I2 (1kV)
29=BA4: chiusura interruttore I1 (BT)
30=BA4: apertura interruttore I1 (BT)
31=BA4: chiusura interruttore I2 (1kV)
32=BA4: apertura interruttore I2 (1kV)
