1=Tensione complessiva: non gestita
2=Tensione complessiva: sopra soglia
3=Tensione complessiva: sotto soglia
4=Tensione complessiva: fuori media
5=Corrente: non gestita
6=Corrente: sopra soglia
7=Corrente: sotto soglia
8=Corrente: fuori media
9=Temperatura ambiente: non gestita
10=Temperatura ambiente: sopra soglia
11=Temperatura ambiente: sotto soglia
12=Temperatura ambiente: fuori media
13=Temperatura batterie: non gestita
14=Temperatura batterie: sopra soglia
15=Temperatura batterie: sotto soglia
16=Temperatura batterie: fuori media
17=Tensione canale 1: non gestita
18=Tensione canale 1: sopra soglia
19=Tensione canale 1: sotto soglia
20=Tensione canale 1: fuori media
21=Tensione canale 2: non gestita
22=Tensione canale 2: sopra soglia
23=Tensione canale 2: sotto soglia
24=Tensione canale 2: fuori media
25=Tensione canale 3: non gestita
26=Tensione canale 3: sopra soglia
27=Tensione canale 3: sotto soglia
28=Tensione canale 3: fuori media
29=Tensione canale 4: non gestita
30=Tensione canale 4: sopra soglia
31=Tensione canale 4: sotto soglia
32=Tensione canale 4: fuori media
33=Tensione canale 5: non gestita
34=Tensione canale 5: sopra soglia
35=Tensione canale 5: sotto soglia
36=Tensione canale 5: fuori media
37=Tensione canale 6: non gestita
38=Tensione canale 6: sopra soglia
39=Tensione canale 6: sotto soglia
40=Tensione canale 6: fuori media
41=Tensione canale 7: non gestita
42=Tensione canale 7: sopra soglia
43=Tensione canale 7: sotto soglia
44=Tensione canale 7: fuori media
45=Tensione canale 8: non gestita
46=Tensione canale 8: sopra soglia
47=Tensione canale 8: sotto soglia
48=Tensione canale 8: fuori media
49=Tensione canale 9: non gestita
50=Tensione canale 9: sopra soglia
51=Tensione canale 9: sotto soglia
52=Tensione canale 9: fuori media
53=Tensione canale 10: non gestita
54=Tensione canale 10: sopra soglia
55=Tensione canale 10: sotto soglia
56=Tensione canale 10: fuori media
57=Tensione canale 11: non gestita
58=Tensione canale 11: sopra soglia
59=Tensione canale 11: sotto soglia
60=Tensione canale 11: fuori media
61=Tensione canale 12: non gestita
62=Tensione canale 12: sopra soglia
63=Tensione canale 12: sotto soglia
64=Tensione canale 12: fuori media
65=Tensione canale 13: non gestita
66=Tensione canale 13: sopra soglia
67=Tensione canale 13: sotto soglia
68=Tensione canale 13: fuori media
69=Tensione canale 14: non gestita
70=Tensione canale 14: sopra soglia
71=Tensione canale 14: sotto soglia
72=Tensione canale 14: fuori media
73=Tensione canale 15: non gestita
74=Tensione canale 15: sopra soglia
75=Tensione canale 15: sotto soglia
76=Tensione canale 15: fuori media
77=Tensione canale 16: non gestita
78=Tensione canale 16: sopra soglia
79=Tensione canale 16: sotto soglia
80=Tensione canale 16: fuori media
